id,text,datetime,geo
263112446242349057,didnt even text me,2012-10-30 02:57:50,"{'type': 'Point', 'coordinates': [36.04311055, -78.51791893]}"
263112481101193216,i dont understand bitch,2012-10-30 02:57:58,"{'type': 'Point', 'coordinates': [39.94774424, -75.23670982]}"
263112492367101952,@marylandprobz i gotta get one of those where can i,2012-10-30 02:58:01,"{'type': 'Point', 'coordinates': [33.98525403, -81.01843437]}"
263112492958502912,couldnt be more excited ,2012-10-30 02:58:01,"{'type': 'Point', 'coordinates': [39.69191732, -84.14740359]}"
263112504744501248,@hitmanholla @scizas word stone cold.open a can of whip ass on dat boy and dump budweiser on him after it...lol,2012-10-30 02:58:04,"{'type': 'Point', 'coordinates': [40.3114639, -74.0790604]}"
263112525825073152,ride or die .. we gon make it out this hood,2012-10-30 02:58:09,"{'type': 'Point', 'coordinates': [34.678605, -82.1807068]}"
263112545785753600,i dont understand bitch lol,2012-10-30 02:58:13,"{'type': 'Point', 'coordinates': [36.5987651, -79.37770355]}"
263112549829050368,knock knock bitch im in the house now whats up ,2012-10-30 02:58:14,"{'type': 'Point', 'coordinates': [35.3631014, -80.1764075]}"
263112556619632640,@rm9_era lmao why you wanna do that haha,2012-10-30 02:58:16,"{'type': 'Point', 'coordinates': [33.46543032, -81.87096275]}"
263112569647144962,i just messaged you cause i was bored yea im sure thats the reason,2012-10-30 02:58:19,
263112567285764098,@kweadilovewale yo ijus turned my phone on. my power is out so im tryin save battery,2012-10-30 02:58:19,"{'type': 'Point', 'coordinates': [40.04633315, -74.89521629]}"
263112579143045123,@_percyyy good one -_-,2012-10-30 02:58:21,"{'type': 'Point', 'coordinates': [40.97998559, -80.34705162]}"
263112592841654272,listening to @brothalynchhung season of da siccness right now.,2012-10-30 02:58:25,"{'type': 'Point', 'coordinates': [42.08640301, -72.57616764]}"
263112592543870977,@mikepereira would he be considered a defenseless receiver,2012-10-30 02:58:25,
263112615348289537,"just went outside to check out sandy, pretty scary stuff, trees on top of cars etc.",2012-10-30 02:58:30,"{'type': 'Point', 'coordinates': [40.82488627, -73.94723486]}"
263112625339125761,"#100thingsaboutme if i could wear a tiedye shirt and sweats every single day of my life, you had better believe i would.",2012-10-30 02:58:32,"{'type': 'Point', 'coordinates': [40.20557214, -81.26809011]}"
263112661766647809,@leeeexis @xburke13x  omggg.. where are these pics,2012-10-30 02:58:41,"{'type': 'Point', 'coordinates': [42.0452533, -71.8974726]}"
263112665528954882,@classictwenty3 he makes me upset,2012-10-30 02:58:42,
263112682964647937,@rookiewriter8 seems like hk is the safest place to be tonight #sandy,2012-10-30 02:58:46,"{'type': 'Point', 'coordinates': [40.76052314, -73.99104401]}"
263112725591367680,how tf you accidentally vote for romney  lol ,2012-10-30 02:58:56,"{'type': 'Point', 'coordinates': [36.0059516, -79.70205529]}"
263112727147450368,", she a lil bop ",2012-10-30 02:58:57,"{'type': 'Point', 'coordinates': [39.9476052, -75.236657]}"
263112732520349697,"laid 3 little angels down to bed, i just pray demons dont wake up in there places  for school tomorrow lol help aunt jesse lol",2012-10-30 02:58:58,"{'type': 'Point', 'coordinates': [35.72791285, -84.02850704]}"
263112732268720131,@kradick22 im not complaining it was a simple tweet,2012-10-30 02:58:58,"{'type': 'Point', 'coordinates': [40.55826837, -80.02854391]}"
263112777537818624,@darth_talbert its going on right now lol,2012-10-30 02:59:09,"{'type': 'Point', 'coordinates': [38.73839043, -76.9436976]}"
263112786052272129,@maggiemay419 i killed a guy,2012-10-30 02:59:11,"{'type': 'Point', 'coordinates': [39.8734456, -75.1307695]}"
263112798240915456,@halenspencer yes and the boys :,2012-10-30 02:59:14,"{'type': 'Point', 'coordinates': [41.3954433, -82.0050324]}"
263112805593542656,@xxjransom2xx @thagavster youre damn right just the thought of you coming here gets me rock solid.,2012-10-30 02:59:15,"{'type': 'Point', 'coordinates': [35.29030437, -81.73766576]}"
263112805820022784,the haves and the have nots in manhattan. the view from my blacked out hotel room on west 16th. ,2012-10-30 02:59:16,
263112812971298817,sandy turn off de lights,2012-10-30 02:59:17,
263112815777308672,hearing that nyc has plunged into darkness puts my stomach in a knot,2012-10-30 02:59:18,"{'type': 'Point', 'coordinates': [41.13166544, -73.39460894]}"
263112886963011585,her leo self better not take advantage of his pisces kindness,2012-10-30 02:59:35,"{'type': 'Point', 'coordinates': [36.841128, -76.134042]}"
263112906286170113,its crazy how bored a person can get from doing absolutely nothing,2012-10-30 02:59:39,"{'type': 'Point', 'coordinates': [39.3393578, -76.53281175]}"
263112917229117440,@burnymacc @roxinoel94 i love my jack haha,2012-10-30 02:59:42,"{'type': 'Point', 'coordinates': [40.7703811, -80.7581241]}"
263112959956488192,lets just pretend that this was all just a dream.,2012-10-30 02:59:52,"{'type': 'Point', 'coordinates': [42.12093429, -71.44781422]}"
263112964561846272,i didnt change. you just never knew me.,2012-10-30 02:59:53,"{'type': 'Point', 'coordinates': [40.8995581, -83.7265767]}"
263112968827457538,temp: 39.7f  wind:n at 8.7kts barometer: 992.2mb and falling quickly rain since midnight: 1.29in relative humidity: 95%  #wvwx,2012-10-30 02:59:54,"{'type': 'Point', 'coordinates': [40.44472222, -80.60555556]}"
263112985197817857,@jboochh high tides over water should be receding now  good to know everyones safe,2012-10-30 02:59:58,
263112988221902848,"i cant let these little things slip out of my mouth... cause its you, oh its you, its you they add up tolt3",2012-10-30 02:59:59,"{'type': 'Point', 'coordinates': [37.2174243, -80.0182742]}"
263113015371632640,"on a day when i am afraid, i will trust you, god -- psalm 56:3 pray for those enduring #hurricane #sandy",2012-10-30 03:00:05,"{'type': 'Point', 'coordinates': [38.9242984, -77.0131916]}"
263113014071406592,guess its time to go to bed now.  hopefully the power will be back soon.,2012-10-30 03:00:05,
263113076776267777,@mgee_x3  family guyyyyy,2012-10-30 03:00:20,"{'type': 'Point', 'coordinates': [39.89076981, -83.11639714]}"
263113082878963713,@katie_newport @allisonrockey yay were good. were having a brown out-low flickering lights. its like 1873 up here.,2012-10-30 03:00:22,"{'type': 'Point', 'coordinates': [40.77966416, -73.95411428]}"
263113107453378560,please think before you speak,2012-10-30 03:00:27,"{'type': 'Point', 'coordinates': [42.23309682, -70.98242968]}"
263113110024515584,fuck sandy dam storm keeps knockin on n off internet,2012-10-30 03:00:28,"{'type': 'Point', 'coordinates': [40.8161944, -73.9096155]}"
263113113660956672,eff too bad this episode was on the other night,2012-10-30 03:00:29,"{'type': 'Point', 'coordinates': [36.88136583, -76.02193804]}"
263113112167792640,@23solesandhoes she not ugly tho,2012-10-30 03:00:29,
263113140689047555,fail.,2012-10-30 03:00:35,"{'type': 'Point', 'coordinates': [40.07239137, -80.75266303]}"
263113156447043584,she gonna say im late,2012-10-30 03:00:39,"{'type': 'Point', 'coordinates': [39.7405963, -75.5376291]}"
263113182086823937,one ice down.... one to go #drunkyyyy,2012-10-30 03:00:45,"{'type': 'Point', 'coordinates': [37.13727795, -80.5569076]}"
263113196926287872,"@boxing he should rematch quartey, tito, or mosley.",2012-10-30 03:00:49,
263113198864064512,fuck #hurricanesandy,2012-10-30 03:00:49,"{'type': 'Point', 'coordinates': [40.07255518, -83.07369235]}"
263113203184189440,"@johnpattwell yeah same, now we need to drink cause ive got nothing else to do",2012-10-30 03:00:50,"{'type': 'Point', 'coordinates': [42.18900518, -75.84544588]}"
