id,text,datetime,geo,predicted,tag
263067704418791424,"@godseyg i was arrested about 36 hours later. and now im staying in cincinnati to be with the son ive 
never met.",2012-10-30 00:00:02,"{'type': 'Point', 'coordinates': [39.12081393, -84.44655356]}",1.0,0.0
263067709691023360,wish i was wiff my love during this disaster #misshim #,2012-10-30 00:00:04,"{'type': 'Point', 'coordinates': [41.28866479, -73.22198647]}",1.0,0.0
263067710290808832,"im a hurricane vet.. so #hurricanesandy isnt a big deal for me and my family however, my thoughts and prayers go out 2 all being affected",2012-10-30 00:00:04,"{'type': 'Point', 'coordinates': [39.12088316, -76.70500841]}",1.0,0.0
263067710311772160,the scorpions - rock you like a hurricane #2012hurricanesandyplaylist,2012-10-30 00:00:04,"{'type': 'Point', 'coordinates': [42.60095122, -76.18755174]}",1.0,0.0
263067717840543712,lights out @ frankenstorm apocalypse - hurricane sandy w/ 2923 others,2012-10-30 00:00:06,"{'type': 'Point', 'coordinates': [40.79093941, -73.79173279]}",1.0,0.0
263067722894692352,"n4trq-1 near 5322 hitching post ct virginia beach, va 23462 42.8f ",2012-10-30 00:00:07,"{'type': 'Point', 'coordinates': [36.86896, -76.16481]}",1.0,0.0
263067721976139776,"hurricane meal número dos: chicken sloppy joe, steamed broccoli, sweet potato fries and or @ the continental ",2012-10-30 00:00:07,"{'type': 'Point', 'coordinates': [40.7530543, -73.96856557]}",1.0,0.0
263067732495462400,"@dejan_kovacevic they should have named this storm doug shedden, then it wouldnt hit anything.",2012-10-30 00:00:09,"{'type': 'Point', 'coordinates': [35.20300757, -80.83790743]}",1.0,0.0
263067737260191712,if hurricane sandy fucks my house up im goin to punch her right in her twitter #215,2012-10-30 00:00:10,"{'type': 'Point', 'coordinates': [41.38600445, -75.71094131]}",1.0,0.0
263067752137379840,listening to the radio for #hurricanesandy updates like they did back in the day...stay strong #tristatearea #northerners  :,2012-10-30 00:00:14,"{'type': 'Point', 'coordinates': [41.21444696, -74.00055843]}",1.0,0.0
263067757678043168,outside in a hurricane #yolo,2012-10-30 00:00:15,"{'type': 'Point', 'coordinates': [40.79299108, -74.18377271]}",1.0,0.0
263067770072203264,@cassadeepope if i got the digital channel i would. local channel is only showing hurricane shit,2012-10-30 00:00:18,,1.0,0.0
263067783171022848,@nbcthevoice unfortunately cant watch here at my place in the east but hope to see it later online.  ty for prayers,2012-10-30 00:00:21,"{'type': 'Point', 'coordinates': [40.04122715, -76.31967376]}",1.0,0.0
263067788518776832,"@brittanylynnx33 save me luckily i live on a hill so i dont get the flooding, so i really shouldnt even be complaining /: it still stinks",2012-10-30 00:00:23,"{'type': 'Point', 'coordinates': [40.80420974, -74.12836498]}",1.0,0.0
263067789009498080,das crazy nigga tryin 2 spark  me like dat. spark #hurricanesosa not me shit lol @glennisa_menace @thatcrazy_val,2012-10-30 00:00:23,"{'type': 'Point', 'coordinates': [39.40647426, -77.4639506]}",1.0,0.0
263067790079049664,"to my brothers @35_perfection , @davonmckoy i love yall so much and im praying for your family  im here for you guys ",2012-10-30 00:00:23,"{'type': 'Point', 'coordinates': [34.71697586, -79.49514064]}",1.0,0.0
