index,tweet_id,datetime
4608481,263112446242349057,2012-10-30 02:57:50
4608592,263112473173975040,2012-10-30 02:57:56
4608604,263112475866701825,2012-10-30 02:57:57
4608619,263112481101193216,2012-10-30 02:57:58
4608654,263112492958502912,2012-10-30 02:58:01
4608646,263112492367101952,2012-10-30 02:58:01
4608686,263112504744501248,2012-10-30 02:58:04
4608729,263112517398700032,2012-10-30 02:58:07
4608759,263112525825073152,2012-10-30 02:58:09
4608838,263112545785753600,2012-10-30 02:58:13
4608852,263112549829050368,2012-10-30 02:58:14
4608879,263112556619632640,2012-10-30 02:58:16
4608932,263112569647144962,2012-10-30 02:58:19
4608926,263112567285764098,2012-10-30 02:58:19
4608957,263112579143045123,2012-10-30 02:58:21
4608964,263112580770451456,2012-10-30 02:58:22
4608992,263112590824194049,2012-10-30 02:58:24
4609003,263112592841654272,2012-10-30 02:58:25
4609002,263112592543870977,2012-10-30 02:58:25
4609016,263112597329571840,2012-10-30 02:58:26
4609088,263112615348289537,2012-10-30 02:58:30
4609100,263112625339125761,2012-10-30 02:58:32
4609239,263112661766647809,2012-10-30 02:58:41
4609238,263112661720526848,2012-10-30 02:58:41
4609244,263112665528954882,2012-10-30 02:58:42
4609300,263112682964647937,2012-10-30 02:58:46
4609450,263112725117431808,2012-10-30 02:58:56
4609442,263112725591367680,2012-10-30 02:58:56
4609465,263112729194283009,2012-10-30 02:58:57
4609458,263112727147450368,2012-10-30 02:58:57
4609467,263112732520349697,2012-10-30 02:58:58
4609481,263112732268720131,2012-10-30 02:58:58
4609484,263112730771353601,2012-10-30 02:58:58
4609639,263112777537818624,2012-10-30 02:59:09
4609648,263112778787737600,2012-10-30 02:59:09
4609658,263112783749599232,2012-10-30 02:59:10
4609671,263112786052272129,2012-10-30 02:59:11
4609678,263112789147676672,2012-10-30 02:59:11
4609721,263112798240915456,2012-10-30 02:59:14
4609725,263112805593542656,2012-10-30 02:59:15
4609745,263112805820022784,2012-10-30 02:59:16
4609768,263112812971298817,2012-10-30 02:59:17
4609772,263112815777308672,2012-10-30 02:59:18
4610000,263112886963011585,2012-10-30 02:59:35
4610048,263112906286170113,2012-10-30 02:59:39
4610046,263112906516873217,2012-10-30 02:59:39
4610076,263112913861083136,2012-10-30 02:59:41
4610089,263112917229117440,2012-10-30 02:59:42
4610118,263112928838942720,2012-10-30 02:59:45
4610192,263112949550432256,2012-10-30 02:59:50
4610230,263112959956488192,2012-10-30 02:59:52
4610248,263112964561846272,2012-10-30 02:59:53
4610258,263112968827457538,2012-10-30 02:59:54
4610300,263112979036385281,2012-10-30 02:59:57
4610312,263112981464895489,2012-10-30 02:59:57
4610329,263112985197817857,2012-10-30 02:59:58
4610330,263112988221902848,2012-10-30 02:59:59
4610425,263113015371632640,2012-10-30 03:00:05
4610421,263113014071406592,2012-10-30 03:00:05
4610441,263113016105639936,2012-10-30 03:00:06
4610452,263113023198228480,2012-10-30 03:00:07
4610625,263113064918970368,2012-10-30 03:00:17
4610674,263113076776267777,2012-10-30 03:00:20
4610702,263113082878963713,2012-10-30 03:00:22
4610709,263113083126427649,2012-10-30 03:00:22
4610795,263113103682699264,2012-10-30 03:00:26
4610809,263113107453378560,2012-10-30 03:00:27
4610821,263113110024515584,2012-10-30 03:00:28
4610842,263113113660956672,2012-10-30 03:00:29
4610836,263113112167792640,2012-10-30 03:00:29
4610925,263113134078849024,2012-10-30 03:00:34
4610934,263113137874685954,2012-10-30 03:00:35
4610943,263113140689047555,2012-10-30 03:00:35
4611026,263113156447043584,2012-10-30 03:00:39
4611067,263113169197752320,2012-10-30 03:00:42
4611118,263113182086823937,2012-10-30 03:00:45
4611165,263113192270610432,2012-10-30 03:00:48
4611186,263113196926287872,2012-10-30 03:00:49
4611193,263113198864064512,2012-10-30 03:00:49
4611201,263113203184189440,2012-10-30 03:00:50
4611213,263113203632967680,2012-10-30 03:00:50
4611229,263113208024428544,2012-10-30 03:00:51
4611254,263113213326020609,2012-10-30 03:00:53
4611303,263113225179119616,2012-10-30 03:00:55
4611366,263113243281727488,2012-10-30 03:01:00
4611400,263113253247401986,2012-10-30 03:01:02
4611449,263113269189963776,2012-10-30 03:01:06
4611485,263113277402406912,2012-10-30 03:01:08
4611575,263113300391374848,2012-10-30 03:01:13
4611646,263113319848742912,2012-10-30 03:01:18
4611645,263113319580319744,2012-10-30 03:01:18
4611674,263113329038483458,2012-10-30 03:01:20
4611672,263113328837144576,2012-10-30 03:01:20
4611716,263113339641667586,2012-10-30 03:01:23
4611723,263113341180993537,2012-10-30 03:01:23
4611754,263113348902707200,2012-10-30 03:01:25
4611767,263113352664977410,2012-10-30 03:01:26
4611857,263113375968555009,2012-10-30 03:01:31
4611865,263113376832561154,2012-10-30 03:01:32
4611889,263113384680112128,2012-10-30 03:01:33
4611913,263113389503569920,2012-10-30 03:01:35
4611957,263113398793940992,2012-10-30 03:01:37
4612014,263113414761660416,2012-10-30 03:01:41
4612070,263113429945044992,2012-10-30 03:01:44
4612072,263113427768184832,2012-10-30 03:01:44
4612107,263113443169689600,2012-10-30 03:01:48
4612127,263113451784785922,2012-10-30 03:01:49
4612119,263113448395776000,2012-10-30 03:01:49
4612204,263113473444155393,2012-10-30 03:01:55
4612228,263113480683544576,2012-10-30 03:01:56
4612255,263113489449639936,2012-10-30 03:01:58
4612307,263113503311806465,2012-10-30 03:02:02
4612355,263113514967769088,2012-10-30 03:02:05
4612393,263113521565417472,2012-10-30 03:02:07
4612399,263113526657314816,2012-10-30 03:02:07
4612402,263113531392679936,2012-10-30 03:02:08
4612439,263113537478594560,2012-10-30 03:02:10
4612460,263113545246461952,2012-10-30 03:02:12
4612501,263113560635355136,2012-10-30 03:02:15
4612516,263113564477325313,2012-10-30 03:02:16
4612522,263113566406717441,2012-10-30 03:02:17
4612519,263113567585333248,2012-10-30 03:02:17
4612566,263113578662477824,2012-10-30 03:02:20
4612579,263113584605806593,2012-10-30 03:02:21
4612590,263113589248901120,2012-10-30 03:02:22
4612587,263113586782642177,2012-10-30 03:02:22
4612626,263113596215635969,2012-10-30 03:02:24
4612652,263113606764302336,2012-10-30 03:02:26
4612723,263113623780597760,2012-10-30 03:02:30
4612759,263113635897942017,2012-10-30 03:02:33
4612813,263113651567861760,2012-10-30 03:02:37
4612959,263113697717788672,2012-10-30 03:02:48
4612978,263113702419607553,2012-10-30 03:02:49
4612981,263113704462229504,2012-10-30 03:02:50
4613014,263113714616659968,2012-10-30 03:02:52
4613038,263113718911606785,2012-10-30 03:02:53
4613043,263113720434135041,2012-10-30 03:02:54
4613051,263113723508572160,2012-10-30 03:02:54
4613095,263113737639165953,2012-10-30 03:02:58
4613172,263113755527888897,2012-10-30 03:03:02
4613209,263113759529259009,2012-10-30 03:03:03
4613241,263113766001057792,2012-10-30 03:03:04
4613361,263113776553943041,2012-10-30 03:03:07
4613431,263113779875831808,2012-10-30 03:03:08
4613407,263113782849581056,2012-10-30 03:03:08
4613444,263113783399022593,2012-10-30 03:03:09
4613436,263113783336128512,2012-10-30 03:03:09
4613547,263113795109548033,2012-10-30 03:03:11
4613552,263113799228334080,2012-10-30 03:03:12
4613672,263113825644077056,2012-10-30 03:03:19
4613692,263113831595769856,2012-10-30 03:03:20
4613727,263113841108455424,2012-10-30 03:03:22
4613743,263113842802950145,2012-10-30 03:03:23
4613880,263113876932030464,2012-10-30 03:03:31
4613887,263113879977078787,2012-10-30 03:03:32
4613934,263113891700174849,2012-10-30 03:03:34
4613951,263113897362460673,2012-10-30 03:03:36
4613952,263113897114996737,2012-10-30 03:03:36
4613954,263113898176172033,2012-10-30 03:03:36
4613996,263113910331265024,2012-10-30 03:03:39
4614023,263113916014551040,2012-10-30 03:03:40
4614080,263113938659594241,2012-10-30 03:03:46
4614112,263113945626312704,2012-10-30 03:03:47
4614122,263113950139396096,2012-10-30 03:03:48
4614146,263113953125748736,2012-10-30 03:03:49
4614198,263113970192379904,2012-10-30 03:03:53
4614267,263113989477769216,2012-10-30 03:03:58
4614303,263114000332644352,2012-10-30 03:04:00
4614301,263114001167294466,2012-10-30 03:04:00
4614313,263114004661166080,2012-10-30 03:04:01
4614357,263114016816234497,2012-10-30 03:04:04
4614474,263114054925701120,2012-10-30 03:04:13
4614511,263114067034656770,2012-10-30 03:04:16
4614519,263114070092283904,2012-10-30 03:04:17
4614591,263114090627612675,2012-10-30 03:04:22
4614601,263114091219001344,2012-10-30 03:04:22
4614625,263114098156388352,2012-10-30 03:04:24
4614644,263114105471258624,2012-10-30 03:04:25
4614638,263114102396837888,2012-10-30 03:04:25
4614680,263114114904244224,2012-10-30 03:04:28
4614758,263114141210927104,2012-10-30 03:04:34
4614764,263114143790428160,2012-10-30 03:04:34
4614777,263114146931957760,2012-10-30 03:04:35
4614809,263114161238708224,2012-10-30 03:04:39
4614813,263114162673180672,2012-10-30 03:04:39
4614851,263114175386107904,2012-10-30 03:04:42
4614868,263114177986564096,2012-10-30 03:04:43
4614892,263114189076303872,2012-10-30 03:04:45
4614983,263114215970197505,2012-10-30 03:04:52
4615046,263114235943452672,2012-10-30 03:04:56
4615066,263114241106669568,2012-10-30 03:04:58
4615109,263114252544512000,2012-10-30 03:05:00
4615132,263114259146362880,2012-10-30 03:05:02
4615127,263114257506381824,2012-10-30 03:05:02
4615126,263114257388953601,2012-10-30 03:05:02
4615244,263114293304774656,2012-10-30 03:05:10
4615251,263114293065699328,2012-10-30 03:05:10
4615247,263114291283107840,2012-10-30 03:05:10
4615260,263114295389331456,2012-10-30 03:05:11
4615283,263114304096702465,2012-10-30 03:05:13
4615305,263114310232969217,2012-10-30 03:05:14
4615329,263114316688023552,2012-10-30 03:05:16
4615360,263114325013708800,2012-10-30 03:05:18
4615355,263114325936439296,2012-10-30 03:05:18
4615387,263114334094364674,2012-10-30 03:05:20
4615429,263114343091142656,2012-10-30 03:05:22
4615462,263114352524136449,2012-10-30 03:05:24
4615588,263114391204007937,2012-10-30 03:05:33
4615599,263114393737375745,2012-10-30 03:05:34
4615592,263114391996739585,2012-10-30 03:05:34
4615601,263114395188609024,2012-10-30 03:05:34
4615651,263114407645687808,2012-10-30 03:05:37
4615661,263114410896269314,2012-10-30 03:05:38
4615706,263114420786450432,2012-10-30 03:05:41
